time_nadir,longitude_nadir,latitude_nadir,sla_nadir,cross_track_distance
2023-04-06 13:09:00.363534592,-52.95775900000001,49.430951,0.113,-2.0
2023-04-06 13:09:01.295092096,-52.93408500000004,49.379259999999995,0.11800000000000001,-2.0
2023-04-06 13:09:02.536895872,-52.902611000000036,49.310328,0.135,-2.0
2023-04-06 13:09:03.468319360,-52.87907200000001,49.25862,0.14600000000000002,-2.0
2023-04-06 13:09:04.399859968,-52.85559000000001,49.206907,0.129,-2.0
2023-04-06 13:09:05.641884544,-52.82436999999999,49.137944,0.14500000000000002,-2.0
2023-04-06 13:09:06.574498560,-52.80102099999999,49.086214,0.065,-2.0
2023-04-06 13:09:07.816464640,-52.76997700000004,49.017230999999995,0.082,-2.0
2023-04-07 12:59:10.946603264,-53.687423000000024,50.961194,0.185,-2.0
2023-04-07 12:59:11.878242432,-53.66193300000003,50.90972,0.18100000000000002,-2.0
2023-04-07 12:59:13.120405504,-53.628044999999986,50.841075,0.228,-2.0
2023-04-07 12:59:14.052038016,-53.602705000000014,50.789581999999996,0.253,-2.0
2023-04-07 12:59:14.983593472,-53.577428999999995,50.738082,0.23800000000000002,-2.0
2023-04-07 12:59:16.225566720,-53.54382700000002,50.669402999999996,0.258,-2.0
2023-04-07 12:59:17.157196928,-53.518699000000026,50.617885,0.26,-2.0
2023-04-07 12:59:18.399325696,-53.48529400000001,50.549183,0.259,-2.0
2023-04-07 12:59:19.331067008,-53.46031400000004,50.497648,0.249,-2.0
2023-04-07 12:59:20.573197696,-53.42710500000004,50.428922,0.257,-2.0
2023-04-07 12:59:21.504806400,-53.40227100000004,50.377368999999995,0.24200000000000002,-2.0
2023-04-07 12:59:22.436329344,-53.377499,50.325809,0.24300000000000002,-2.0
2023-04-07 12:59:23.678303360,-53.344565999999986,50.257051,0.21400000000000002,-2.0
2023-04-07 12:59:24.609905024,-53.319938000000036,50.205473,0.186,-2.0
2023-04-07 12:59:25.852004352,-53.28719699999999,50.136692,0.20800000000000002,-2.0
2023-04-07 12:59:26.783758976,-53.26271200000002,50.085097999999995,0.163,-2.0
2023-04-07 12:59:28.025860480,-53.23016000000001,50.016293999999995,0.189,-2.0
2023-04-07 12:59:28.957448448,-53.205817000000025,49.964683,0.20600000000000002,-2.0
2023-04-07 12:59:29.889064448,-53.181534,49.913064,0.17500000000000002,-2.0
2023-04-07 12:59:31.131219712,-53.149249999999995,49.844229,0.162,-2.0
